task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
A01_qc_filter,A,medium,deepseek_baseline,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.48466108631352045)]",19,254.08549070358276,,2026-04-27T05:12:20.257882Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_baseline__deepseek_v4_flash__seed0.json
A01_qc_filter,A,medium,deepseek_baseline,deepseek-v4-flash,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.26590630070199944)]",17,426.074679851532,,2026-04-28T02:55:31.721757Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_baseline__deepseek_v4_flash__seed1.json
A01_qc_filter,A,medium,deepseek_baseline,deepseek-v4-flash,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.24274638011014396)]",16,1167.3387677669525,,2026-04-28T13:53:43.728746Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_baseline__deepseek_v4_flash__seed2.json
A01_qc_filter,A,medium,deepseek_omicverse,deepseek-v4-flash,0,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 3 doublet methods; pairwise spearman: [('scrublet_doublet_score', 'doublet_score', 0.5370360770244247), ('scrublet_doublet_score', 'scdblfinder_score', 0.5370360770244247), ('doublet_score', 'scdblfinder_score', 1.0)]",8,197.60632991790771,,2026-04-27T05:08:05.005914Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_omicverse__deepseek_v4_flash__seed0.json
A01_qc_filter,A,medium,deepseek_omicverse,deepseek-v4-flash,1,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_doubletdetection', 0.1496559565132908)]",15,1512.2528023719788,,2026-04-28T03:20:44.248514Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_omicverse__deepseek_v4_flash__seed1.json
A01_qc_filter,A,medium,deepseek_omicverse,deepseek-v4-flash,2,True,1.0,none,"{""mt_obs"": true, ""ribo_obs"": true, ""cells_after_qc"": true, ""genes_filtered"": true, ""mt_values_sane"": true, ""multi_doublet_methods"": true}","multi_doublet_methods: 2 doublet methods; pairwise spearman: [('doublet_score_scrublet', 'doublet_score_scdblfinder', 0.5370360770244247)]",14,616.1760303974152,,2026-04-28T14:04:00.204847Z,trajectories/deepseek_v4flash_canonical/A01_qc_filter__deepseek_omicverse__deepseek_v4_flash__seed2.json
A02_normalize_log,A,easy,deepseek_baseline,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,2,15.782668113708496,,2026-04-27T05:13:02.840040Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_baseline__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_baseline,deepseek-v4-flash,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,7,35.98422145843506,,2026-04-28T03:21:20.460002Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_baseline__deepseek_v4_flash__seed1.json
A02_normalize_log,A,easy,deepseek_baseline,deepseek-v4-flash,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,62.05761003494263,,2026-04-28T14:05:03.022567Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_baseline__deepseek_v4_flash__seed2.json
A02_normalize_log,A,easy,deepseek_omicverse,deepseek-v4-flash,0,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,22.51218605041504,,2026-04-27T05:12:43.441968Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_omicverse__deepseek_v4_flash__seed0.json
A02_normalize_log,A,easy,deepseek_omicverse,deepseek-v4-flash,1,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,3,22.58255887031555,,2026-04-28T03:21:43.409114Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_omicverse__deepseek_v4_flash__seed1.json
A02_normalize_log,A,easy,deepseek_omicverse,deepseek-v4-flash,2,True,1.0,none,"{""counts_layer"": true, ""x_is_normalized"": true, ""per_cell_sum"": true, ""counts_int"": true}",,6,71.89856719970703,,2026-04-28T14:06:15.229628Z,trajectories/deepseek_v4flash_canonical/A02_normalize_log__deepseek_omicverse__deepseek_v4_flash__seed2.json
A03_hvg,A,easy,deepseek_baseline,deepseek-v4-flash,0,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",3,18.372820615768433,,2026-04-27T05:13:44.341331Z,trajectories/deepseek_v4flash_canonical/A03_hvg__deepseek_baseline__deepseek_v4_flash__seed0.json
A03_hvg,A,easy,deepseek_baseline,deepseek-v4-flash,1,True,1.0,none,"{""hvg_present"": true, ""hvg_count"": true, ""hvg_includes_canonical_markers"": true}","hvg_includes_canonical_markers: 20 canonical markers flagged: ['CCR7', 'CD14', 'CD3D', 'CD3E', 'CD79A', 'CD79B', 'CD8A', 'CD8B']",7,39.93268609046936,,2026-04-28T03:22:23.874314Z,trajectories/deepseek_v4flash_canonical/A03_hvg__deepseek_baseline__deepseek_v4_flash__seed1.json
